티커,종가,시가총액,거래량,거래대금,상장주식수,날짜
005930,1973000,277560331901000,359844,713064586560,140679337,20170131
000660,53700,39093727000500,4118790,221428745900,728002365,20170131
005935,1571000,32226593817000,55798,88859525000,20513427,20170131
005380,139500,30728568820500,574213,80470954500,220276479,20170131
015760,42450,27251375068650,1118324,47643294150,641964077,20170131
035420,758000,24985710682000,127610,96818598000,32962679,20170131
028260,126000,23900945418000,347477,44030032500,189690043,20170131
005490,271000,23627632285000,262001,71593827500,87186835,20170131
012330,242000,23557214846000,815329,200719706500,97343863,20170131
032830,111000,22200000000000,150885,16714196500,200000000,20170131
055550,45900,21765761043300,829461,38337200150,474199587,20170131
105560,47000,19651242239000,1302205,62038250050,418111537,20170131
090430,317000,18531341330000,136706,43897160000,58458490,20170131
051910,262000,18495193866000,324050,86211147500,70592343,20170131
017670,223000,18006293553000,115752,25845771000,80745711,20170131
034730,216500,15233004300500,100813,22029491000,70360297,20170131
000270,36400,14755225830800,1883405,68742389800,405363347,20170131
096770,157000,14517093548000,269947,42599607500,92465564,20170131
033780,100500,13797895948500,343460,34494379100,137292497,20170131
051900,879000,13728395163000,60220,52881941588,15618197,20170131
011170,376500,12904695253500,97755,37238146000,34275419,20170131
000810,269000,12743831153000,86636,23324919096,47374837,20170131
068270,100200,11683152365400,291157,29315243000,116598327,20170131
002790,135500,11173083390000,108694,14748308500,82458180,20170131
034220,30650,10967051205000,1859931,57181815250,357815700,20170131
207940,161000,10652565000000,228987,37167125500,66165000,20170131
003550,59200,10215382155200,266570,15815401000,172557131,20170131
086790,34450,10197305485900,1491259,51883502700,296003062,20170131
009540,132500,10070000000000,352759,46510706000,76000000,20170131
018260,126000,9749602800000,68576,8680919000,77377800,20170131
010130,490000,9246300000000,24274,11953208500,18870000,20170131
010950,81100,9130464431200,327692,26497138300,112582792,20170131
066570,55400,9066088895600,1376669,75883267700,163647814,20170131
000030,13100,8855600000000,1316669,17359896250,676000000,20170131
006400,115500,7942303215000,194316,22481615500,68764530,20170131
004020,58200,7766544687000,390243,22812908100,133445785,20170131
030200,29400,7676687155200,557378,16535319168,261111808,20170131
023530,226500,7132687038000,34806,7885140000,31490892,20170131
024110,12700,7111730950500,1371808,17622049900,559978815,20170131
161390,56600,7011328905400,288609,16294976300,123875069,20170131
035250,32700,6995854350000,373080,12152949250,213940500,20170131
021240,87500,6683294887500,109764,9626097100,76380513,20170131
036570,304000,6666422688000,107498,32785700000,21929022,20170131
047810,62000,6043456634000,340855,21139069200,97475107,20170131
006800,8810,5870247554480,4641980,41310245990,666316408,20170131
086280,155500,5831250000000,164291,25771948500,37500000,20170131
139480,203000,5658791257000,156215,31873223500,27875819,20170131
088350,6440,5593333200000,656162,4215536420,868530000,20170131
001040,182500,5324802135000,37011,6771506500,29176998,20170131
035720,77700,5253741055500,260779,20429898300,67615715,20170131
032640,11400,4977369515400,3929949,45486292600,436611361,20170131
009240,208500,4906823988000,53114,11096550500,23533928,20170131
018880,9090,4852242000000,1747981,16125422600,533800000,20170131
004800,135500,4758415152500,102665,13927842500,35117455,20170131
078930,51000,4738684278000,171636,8699674000,92915378,20170131
097950,354500,4665892841000,30019,10608800500,13161898,20170131
000720,41550,4626832035750,370490,15332562250,111355765,20170131
027410,91700,4543517212500,101406,9341388100,49547625,20170131
029780,39150,4535875582650,176728,7009244750,115858891,20170131
009830,26100,4301524269900,1280466,33663575050,164809359,20170131
036460,46300,4274091900000,170045,7920539200,92313000,20170131
009150,56700,4235132563200,390338,22082132100,74693696,20170131
005830,59100,4184280000000,137944,8132655400,70800000,20170131
010140,10400,4056000000000,1678462,17521417950,390000000,20170131
007070,52000,4004000000000,242737,12597115200,77000000,20170131
001800,649000,3899474315000,9632,6244731000,6008435,20170131
000120,163000,3718412072000,30339,4916931000,22812344,20170131
241560,37000,3709219142000,286897,10665343650,100249166,20170131
002380,347500,3668388267500,29616,10264838500,10556513,20170131
005387,95900,3607169653500,127843,12290881400,37613865,20170131
130960,87500,3389057787500,179393,15785979100,38732089,20170131
008930,57700,3363350829300,86078,5005117500,58290309,20170131
012630,43700,3294288666000,118415,5188904600,75384180,20170131
005940,11450,3222131756150,1591718,18259067500,281408887,20170131
012750,84100,3195730869800,113326,9591782400,37999178,20170131
128940,288000,3005311968000,40986,11804274500,10435111,20170131
042660,44800,2937847808000,0,0,65576960,20170131
034020,27450,2922260735700,209621,5796189350,106457586,20170131
000210,83900,2919720000000,157119,13212564900,34800000,20170131
