티커,종가,시가총액,거래량,거래대금,상장주식수,날짜
005930,2495000,322100742530000,1293626,3351453496000,129098494,20180131
000660,73500,53508173827500,5800892,426240525400,728002365,20180131
068270,315700,38725790056800,1383456,439383918800,122666424,20180131
005935,2109000,38490473220000,99658,213129887000,18250580,20180131
005380,162000,35684789598000,926031,148019007500,220276479,20180131
005490,380500,33174590717500,250773,94769193325,87186835,20180131
051910,432000,30495892176000,212494,91409103500,70592343,20180131
035420,910000,29996037890000,125184,115017011000,32962679,20180131
207940,438500,29013352500000,242838,105868582000,66165000,20180131
105560,67300,28138906440100,1206737,80466900400,418111537,20180131
028260,142000,26935986106000,1193193,169776637000,189690043,20180131
032830,129000,25800000000000,633456,80677514000,200000000,20180131
055550,53300,25274837987100,1349913,71234682000,474199587,20180131
012330,247500,24092606092500,391535,96213115000,97343863,20180131
015760,35750,22950215752750,1734984,61542046250,641964077,20180131
034730,318500,22409754594500,110463,35051489000,70360297,20180131
017670,265500,21437986270500,202799,53701824500,80745711,20180131
018260,256500,19847405700000,210868,53726616500,77377800,20180131
096770,204500,18909207838000,330454,67590755573,92465564,20180131
091990,137000,18815363951000,2376614,323823450800,137338423,20180131
051900,1177000,18382617869000,39277,45793018000,15618197,20180131
090430,299500,17508317755000,319497,96139592500,58458490,20180131
066570,102500,16773900935000,804156,81919815500,163647814,20180131
086790,52100,15421759530200,902836,46654093350,296003062,20180131
003550,89100,15374840372100,531602,47144108037,172557131,20180131
251270,174000,14794729320000,200071,34455211000,85027180,20180131
033780,106500,14621650930500,515714,54807972500,137292497,20180131
011170,420000,14395675980000,133719,55330811000,34275419,20180131
000270,34650,14045839973550,1682466,57552314900,405363347,20180131
010950,123000,13847683416000,339673,41821757000,112582792,20180131
000810,289000,13691327893000,198838,57131406134,47374837,20180131
006400,197000,13546612410000,889811,176473622500,68764530,20180131
002790,142000,11709061560000,162091,23248747000,82458180,20180131
034220,32200,11521665540000,2930771,94277016850,357815700,20180131
000030,16850,11390600000000,1551995,25911693550,676000000,20180131
010130,515000,9718050000000,42418,21773582000,18870000,20180131
036570,442000,9697047724000,179159,79422768500,21939022,20180131
035720,140000,9507193780000,943362,130325132500,67908527,20180131
024110,16650,9323647269750,1206296,19906129100,559978815,20180131
139480,291000,8111863329000,131660,38638704000,27875819,20180131
009150,106500,7954878624000,1351625,144193543000,74693696,20180131
009540,139000,7876494214000,579930,77602420500,56665426,20180131
030200,29650,7741965107200,1522403,45981015000,261111808,20180131
004020,57000,7606409745000,499342,28446122200,133445785,20180131
006800,11250,7496059590000,5219171,57704012550,666316408,20180131
267250,457000,7442983969000,76013,34739283500,16286617,20180131
