티커,종가,시가총액,거래량,거래대금,상장주식수,날짜
011780,90000,2742092190000,142679,12865807500,30467691,20190131
030000,23500,2703468787500,370013,8590962750,115041225,20190131
000880,35150,2634799535250,312430,10881741450,74958735,20190131
004170,264500,2604050374500,70594,18609465000,9845181,20190131
010060,107000,2551882697000,274679,29432469500,23849371,20190131
253450,90300,2533049547000,136524,12217346000,28051490,20190131
000060,22200,2523696000000,243044,5414267950,113680000,20190131
010620,62800,2508366957200,1041953,65747193600,39942149,20190131
263750,193300,2501881900000,54123,10538245600,12943000,20190131
047050,20000,2467502980000,330494,6617988200,123375149,20190131
079440,29950,2455900000000,133309,3910403400,82000000,20190131
028670,4525,2418925661675,1649846,7549229420,534569207,20190131
138930,7350,2395624058100,1663982,12168074350,325935246,20190131
950160,39200,2391887960000,181248,7119173400,61017550,20190131
011070,97500,2307542932500,265734,26152720600,23667107,20190131
064350,26450,2248250000000,673701,17867729500,85000000,20190131
069620,193500,2242002262500,123091,23600607000,11586575,20190131
069960,95600,2237273359600,82506,7853091200,23402441,20190131
294870,49250,2163957335000,312948,15383963300,43938220,20190131
047040,5180,2152925264840,2903404,15143772150,415622638,20190131
000150,117500,2142976985000,106243,12479201500,18238102,20190131
068760,62900,2142745361600,168004,10563656600,34065904,20190131
025980,25500,2099183332500,3245382,84262718650,82320915,20190131
026960,19200,1914240000000,118991,2291282800,99700000,20190131
039490,86100,1902787614000,130278,11530463400,22099740,20190131
005385,76900,1873029076500,72431,5552334200,24356685,20190131
020150,40550,1869794359250,233285,9487911600,46110835,20190131
006260,57300,1845060000000,167382,9563436300,32200000,20190131
009420,34850,1820586234300,788149,27567957000,52240638,20190131
042670,8660,1802648946820,1139152,9928363560,208158077,20190131
138040,12350,1731770277900,121837,1490233850,140224314,20190131
004370,279500,1700098439000,16159,4513568500,6082642,20190131
009240,71800,1689736030400,136183,9703531300,23533928,20190131
034230,18250,1659703764000,458164,8405091300,90942672,20190131
036490,155900,1644382220700,38943,6122284100,10547673,20190131
180640,27700,1639021686600,1080155,29405836450,59170458,20190131
012450,31400,1634056000000,186620,5862329200,52040000,20190131
006280,137000,1601055706000,73992,9975623000,11686538,20190131
120110,59300,1599845212000,145708,8647478000,26978840,20190131
051905,760000,1595769720000,2174,1645840000,2099697,20190131
204320,33950,1594194224000,536293,18251131400,46957120,20190131
114090,25750,1592783502500,147314,3813935950,61855670,20190131
010120,52400,1572000000000,96220,5066859100,30000000,20190131
051915,202500,1556982000000,23634,4843629750,7688800,20190131
031430,216000,1542240000000,103814,21610750500,7140000,20190131
111770,34700,1537607939600,88279,3059320800,44311468,20190131
051600,33950,1527750000000,316935,10679746350,45000000,20190131
003240,1359000,1513110600000,1072,1468335000,1113400,20190131
161890,67200,1501698105600,89079,6004832100,22346698,20190131
000240,16100,1497624785300,80435,1288413200,93020173,20190131
004800,70000,1474971750000,343194,23974785900,21071025,20190131
078340,114600,1474491732000,134600,15336862200,12866420,20190131
001740,5930,1471752746710,1537144,9074688410,248187647,20190131
056190,40950,1470463722000,244274,10100338150,35908760,20190131
139130,8680,1468185830440,1208277,10439346790,169145833,20190131
095700,71600,1463230774400,114940,8250023300,20436184,20190131
073240,5080,1459282257960,733271,3757803090,287260287,20190131
145020,334500,1457819572500,13676,4600535400,4358205,20190131
011790,38700,1452587278500,66135,2568512600,37534555,20190131
000670,768000,1414686720000,1416,1077302000,1842040,20190131
214320,70500,1410000000000,29207,2064421300,20000000,20190131
046890,23700,1381837980000,895850,21491911750,58305400,20190131
005440,13750,1343436627500,122016,1683172700,97704482,20190131
034020,11350,1329616214050,460175,5205105200,117146803,20190131
041960,22800,1324014992400,110303,2534766950,58070833,20190131
192820,126000,1266238134000,69320,8712900500,10049509,20190131
011200,4005,1256792337135,840810,3381180265,313805827,20190131
028150,190000,1246875000000,9619,1837361500,6562500,20190131
057050,103000,1236000000000,20470,2116937000,12000000,20190131
175330,6210,1223263771740,1305811,8078844340,196982894,20190131
012510,41150,1221031605000,258101,10662623150,29672700,20190131
071840,50600,1194550227200,70156,3576466200,23607712,20190131
011210,43650,1187065372950,161499,7006175000,27195083,20190131
000080,16900,1185258025900,208051,3491836450,70133611,20190131
003520,6480,1185144896880,7085906,45719293820,182892731,20190131
001800,18850,1180866204700,90701,1701639900,62645422,20190131
003380,12550,1174481684900,178061,2227953750,93584198,20190131
004000,45300,1168740000000,137514,6250764600,25800000,20190131
181710,59000,1154336475000,40318,2378535400,19565025,20190131
005300,1435000,1147061510000,1125,1615427000,799346,20190131
003000,23250,1136234079750,182983,4217768700,48870283,20190131
005250,23900,1123974219000,58145,1392444850,47028210,20190131
098460,82000,1122411982000,65864,5479586900,13687951,20190131
085660,21300,1117774243200,435277,9275213050,52477664,20190131
280360,174000,1116508758000,3164,542206500,6416717,20190131
012630,18650,1114183096650,459937,8640667500,59741721,20190131
041510,48050,1106759723050,655743,31309643950,23033501,20190131
006650,169500,1101750000000,29718,5079662500,6500000,20190131
185750,106000,1099250740000,18064,1937847000,10370290,20190131
267270,55100,1085513694300,344056,19036769800,19700793,20190131
115390,19950,1081022670000,113989,2262362800,54186600,20190131
003690,8970,1079710970520,191764,1729861220,120369116,20190131
090435,102000,1076898660000,11748,1197667500,10557830,20190131
003090,18300,1063998234000,143961,2641169700,58141980,20190131
005690,17700,1061273415000,3964775,71724144650,59958950,20190131
018250,40350,1060766597250,297353,11825718050,26289135,20190131
042000,110600,1043024028200,76769,8551364900,9430597,20190131
049770,270000,1041963480000,5404,1466638500,3859124,20190131
192080,55900,1020023958200,76948,4303907600,18247298,20190131
009410,13300,1016120000000,443255,5803561700,76400000,20190131
035900,28700,1015799304800,952561,27032223850,35393704,20190131
178920,34500,1013138109000,431516,15110351100,29366322,20190131
005610,117000,1009594053000,12312,1440324000,8629009,20190131
000250,45350,1002498619550,606232,26955259800,22105813,20190131
052690,26150,999453000000,198094,5138326500,38220000,20190131
002350,9870,963981945990,102796,1009534170,97667877,20190131
014680,85000,960091575000,35074,2991779800,11295195,20190131
001440,1120,959249770080,572262,643427745,856473009,20190131
032350,14600,954893844800,638496,9192467400,65403688,20190131
023590,21150,948928949550,173450,3643822600,44866617,20190131
240810,22900,945161684400,461253,10507529850,41273436,20190131
069260,23050,942251453400,70063,1604573000,40878588,20190131
010780,30250,933314472750,38553,1171170250,30853371,20190131
020000,37000,911310000000,77188,2855010300,24630000,20190131
079160,42650,902529999450,114564,4885396250,21161313,20190131
151910,8250,899362571250,145320,1225435720,109013645,20190131
020560,4365,895852058310,476319,2080875985,205235294,20190131
192400,125000,889054625000,8117,1016015500,7112437,20190131
036830,50900,885571993900,28507,1467031000,17398271,20190131
001680,25200,873130230000,138433,3478633350,34648025,20190131
006390,52100,873120142400,119367,6214444100,16758544,20190131
022100,5740,872679344460,388630,2235443630,152034729,20190131
089590,32750,863183824500,68037,2218957350,26356758,20190131
085620,4850,858528516650,265378,1288850955,177016189,20190131
103140,30500,854740479000,107190,3253442900,28024278,20190131
170900,101000,852830668000,25883,2599415100,8443868,20190131
066970,34150,845474601250,179245,6177227700,24757675,20190131
009970,61600,839952467200,3532,216743400,13635592,20190131
